candidate_id,constituency_name,constituency_no,district_name,candidate_name,party_name,party_code,alliance,gender,age,education,criminal_cases,serious_cases,assets_declared,liabilities,votes_received,vote_share_pct,winner,margin,deposit_forfeited,source_url
29512,GUMMIDIPUNDI,1,TIRUVALLUR,Sudhakar.V,AIADMK,AIADMK,,M,40,12th Grade (HSC / +2),0,0,56200000,,,,False,,False,
29515,GUMMIDIPUNDI,1,TIRUVALLUR,Sdk Sankar,AJPK,AJPK,,M,46,Bachelor's Degree,0,0,,,,,False,,False,
29513,GUMMIDIPUNDI,1,TIRUVALLUR,M.Jagadeesan,BSP,BSP,OTHERS,M,34,Bachelor's Degree,0,0,1240000,,,,False,,False,
29511,GUMMIDIPUNDI,1,TIRUVALLUR,T.J.Govindarajan,DMK,DMK,INDIA,M,65,10th Grade (SSLC),0,0,75700000,,,,False,,False,
29521,GUMMIDIPUNDI,1,TIRUVALLUR,A.H.Siva Ganesh,IND,IND,NONE,M,43,Master's Degree,0,0,68000000,,,,False,,False,
29524,GUMMIDIPUNDI,1,TIRUVALLUR,D.Dinesh,IND,IND,NONE,M,42,Master's Degree,0,0,26200000,,,,False,,False,
29522,GUMMIDIPUNDI,1,TIRUVALLUR,D.Sudhakar,IND,IND,NONE,M,35,5th Grade,0,0,521,,,,False,,False,
29525,GUMMIDIPUNDI,1,TIRUVALLUR,G.Ranjith,IND,IND,NONE,M,25,Bachelor's Degree,0,0,467000,,,,False,,False,
29519,GUMMIDIPUNDI,1,TIRUVALLUR,Gopal.K,IND,IND,NONE,M,63,10th Grade (SSLC),0,0,7162000,,,,False,,False,
29518,GUMMIDIPUNDI,1,TIRUVALLUR,M.Kumaran,IND,IND,NONE,M,44,Bachelor's Degree,0,0,235000,,,,False,,False,
29520,GUMMIDIPUNDI,1,TIRUVALLUR,T.Govindan,IND,IND,NONE,M,43,10th Grade (SSLC),0,0,1746000,,,,False,,False,
29523,GUMMIDIPUNDI,1,TIRUVALLUR,V.Sudhakar,IND,IND,NONE,M,40,8th Grade,0,0,35400,,,,False,,False,
29514,GUMMIDIPUNDI,1,TIRUVALLUR,R.Sridar. B.L,NTK,NTK,NTK,M,54,Bachelor's Degree,0,0,11000000,,,,False,,False,
29517,GUMMIDIPUNDI,1,TIRUVALLUR,S.Vijayakumar,Tamilaga Vettri Kazhagam,TVK,TVK,M,56,Bachelor's Degree,0,0,11500000,,,,False,,False,
29516,GUMMIDIPUNDI,1,TIRUVALLUR,K.Chandra Sekar,VTVTK,VTVTK,,M,51,Not Specified,0,0,606000,,,,False,,False,
29528,PONNERI,2,TIRUVALLUR,Balaraman.P,AIADMK,AIADMK,,M,64,Master's Degree,0,0,18900000,,,,False,,False,
29527,PONNERI,2,TIRUVALLUR,Santhoshkumar.J,BSP,BSP,OTHERS,M,46,Master's Degree,0,0,2265000,,,,False,,False,
29530,PONNERI,2,TIRUVALLUR,Ashok Priyadarshan,DMSK,DMSK,OTHERS,M,47,Master's Degree,0,0,30000,,,,False,,False,
29526,PONNERI,2,TIRUVALLUR,Durai Chandrasekar,INC,INC,INDIA,M,53,Bachelor's Degree,0,0,14200000,,,,False,,False,
29536,PONNERI,2,TIRUVALLUR,Barathiraja.K,IND,IND,NONE,M,39,10th Grade (SSLC),0,0,757000,,,,False,,False,
29535,PONNERI,2,TIRUVALLUR,Nagaiyan.G,IND,IND,NONE,M,48,10th Grade (SSLC),0,0,5172000,,,,False,,False,
29537,PONNERI,2,TIRUVALLUR,Rajasekar.J,IND,IND,NONE,M,36,Bachelor's Degree,0,0,339000,,,,False,,False,
29538,PONNERI,2,TIRUVALLUR,Venkatesan.S,IND,IND,NONE,M,43,Not Specified,0,0,4338,,,,False,,False,
29529,PONNERI,2,TIRUVALLUR,Rajathi.M,NTK,NTK,NTK,F,34,Bachelor's Degree,0,0,1600000,,,,False,,False,
29532,PONNERI,2,TIRUVALLUR,Kotteeswaran. K,TAVK,TAVK,OTHERS,M,44,10th Grade (SSLC),0,0,44370,,,,False,,False,
29533,PONNERI,2,TIRUVALLUR,Malathi.S,TMMK,TMMK,OTHERS,F,28,12th Grade (HSC / +2),0,0,725000,,,,False,,False,
29534,PONNERI,2,TIRUVALLUR,Dr.Ravi.M.S,Tamilaga Vettri Kazhagam,TVK,TVK,M,67,Not Specified,0,0,50400000,,,,False,,False,
29531,PONNERI,2,TIRUVALLUR,Raja.S,VBA,VBA,,M,46,Doctorate (Ph.D / MD),0,0,6971000,,,,False,,False,
29539,TIRUTTANI,3,TIRUVALLUR,G.Hari,AIADMK,AIADMK,,M,65,Master's Degree,0,0,7753000,,,,False,,False,
29542,TIRUTTANI,3,TIRUVALLUR,Muthuraj.G,BSP,BSP,OTHERS,M,56,Not Specified,0,0,21200,,,,False,,False,
29540,TIRUTTANI,3,TIRUVALLUR,D.Krishnamurthy,DMDK,DMDK,NDA,M,63,10th Grade (SSLC),0,0,42700000,,,,False,,False,
29550,TIRUTTANI,3,TIRUVALLUR,Dr.A.V.Narendran,IND,IND,NONE,M,43,Not Specified,0,0,1620000,,,,False,,False,
29551,TIRUTTANI,3,TIRUVALLUR,Jambu.B,IND,IND,NONE,M,35,Bachelor's Degree,0,0,25000,,,,False,,False,
29547,TIRUTTANI,3,TIRUVALLUR,Krishnamoorthy.D,IND,IND,NONE,M,45,12th Grade (HSC / +2),0,0,2004,,,,False,,False,
29546,TIRUTTANI,3,TIRUVALLUR,Krishnamoorthy.K,IND,IND,NONE,M,29,Not Specified,0,0,773,,,,False,,False,
29548,TIRUTTANI,3,TIRUVALLUR,Krishnamoorthy.M,IND,IND,NONE,M,52,Bachelor's Degree,0,0,1521,,,,False,,False,
29549,TIRUTTANI,3,TIRUVALLUR,Shettu.S,IND,IND,NONE,M,57,Bachelor's Degree,0,0,50000,,,,False,,False,
29541,TIRUTTANI,3,TIRUVALLUR,Chandran .S.S,NTK,NTK,NTK,M,27,Bachelor's Degree,0,0,7801000,,,,False,,False,
29545,TIRUTTANI,3,TIRUVALLUR,Pavendhan.Y.R,TAVK,TAVK,OTHERS,M,47,Master's Degree,0,0,30000,,,,False,,False,
29544,TIRUTTANI,3,TIRUVALLUR,Balaji.A,TK,TK,,M,37,Bachelor's Degree,0,0,208000,,,,False,,False,
29543,TIRUTTANI,3,TIRUVALLUR,M.Sathya Kumar,Tamilaga Vettri Kazhagam,TVK,TVK,M,38,Not Specified,0,0,43400000,,,,False,,False,
29554,THIRUVALLUR,4,TIRUVALLUR,Be Vee Ramanah,AIADMK,AIADMK,,M,58,Not Specified,0,0,68400000,,,,False,,False,
29559,THIRUVALLUR,4,TIRUVALLUR,N.Venkatesan,AJPK,AJPK,,M,50,Bachelor's Degree,0,0,6617000,,,,False,,False,
29555,THIRUVALLUR,4,TIRUVALLUR,B.Rajesh Kumar,BSP,BSP,OTHERS,M,42,Bachelor's Degree,0,0,100000,,,,False,,False,
29552,THIRUVALLUR,4,TIRUVALLUR,V.G.Raajendran,DMK,DMK,INDIA,M,58,Diploma / ITI,0,0,1272100000,,,,False,,False,
29560,THIRUVALLUR,4,TIRUVALLUR,E.Kothandan,IND,IND,NONE,M,38,Master's Degree,0,0,228000,,,,False,,False,
29564,THIRUVALLUR,4,TIRUVALLUR,G.Rajendiran,IND,IND,NONE,M,59,Master's Degree,0,0,639000,,,,False,,False,
29562,THIRUVALLUR,4,TIRUVALLUR,N.Balakrishnan,IND,IND,NONE,M,49,8th Grade,0,0,724000,,,,False,,False,
29561,THIRUVALLUR,4,TIRUVALLUR,N.Nagendrababu,IND,IND,NONE,M,30,Bachelor's Degree,0,0,4509000,,,,False,,False,
29563,THIRUVALLUR,4,TIRUVALLUR,R.Ramanan,IND,IND,NONE,M,56,HSE,0,0,1890000,,,,False,,False,
29565,THIRUVALLUR,4,TIRUVALLUR,S.Rajendran,IND,IND,NONE,M,62,5th Grade,0,0,816000,,,,False,,False,
29553,THIRUVALLUR,4,TIRUVALLUR,K.Senthilkumar,NTK,NTK,NTK,M,47,9th Grade,0,0,13500,,,,False,,False,
29557,THIRUVALLUR,4,TIRUVALLUR,E.Mani,RPI (A),RPI (A),,M,68,Master's Degree,0,0,41247,,,,False,,False,
29558,THIRUVALLUR,4,TIRUVALLUR,E.Rajarathinam,TAVK,TAVK,OTHERS,M,45,Not Specified,0,0,,,,,False,,False,
29556,THIRUVALLUR,4,TIRUVALLUR,Dr. T.Arunkumar,Tamilaga Vettri Kazhagam,TVK,TVK,M,49,Master's Degree,0,0,10900000,,,,False,,False,
29569,POONAMALLEE,5,TIRUVALLUR,Elumalai.T.A,AMMK,AMMK,OTHERS,M,62,Bachelor's Degree,0,0,8172000,,,,False,,False,
29568,POONAMALLEE,5,TIRUVALLUR,Rajasekaran.K,BSP,BSP,OTHERS,M,33,12th Grade (HSC / +2),0,0,611000,,,,False,,False,
29566,POONAMALLEE,5,TIRUVALLUR,Krishnaswamy.A,DMK,DMK,INDIA,M,60,Bachelor's Degree,0,0,102500000,,,,False,,False,
29572,POONAMALLEE,5,TIRUVALLUR,Dhasarathan.R,IND,IND,NONE,M,58,6th Grade,0,0,26030,,,,False,,False,
29576,POONAMALLEE,5,TIRUVALLUR,Dr.Jayanthi.R,IND,IND,NONE,F,50,Doctorate (Ph.D / MD),0,0,1095000,,,,False,,False,
29573,POONAMALLEE,5,TIRUVALLUR,Purushothaman.B,IND,IND,NONE,M,56,10th Grade (SSLC),0,0,16600,,,,False,,False,
29574,POONAMALLEE,5,TIRUVALLUR,Ravikumar.M,IND,IND,NONE,M,37,9th Grade,0,0,370000,,,,False,,False,
29571,POONAMALLEE,5,TIRUVALLUR,Sivakumar.S,IND,IND,NONE,M,56,Bachelor's Degree,0,0,41000,,,,False,,False,
29575,POONAMALLEE,5,TIRUVALLUR,Velu.S,IND,IND,NONE,M,49,Bachelor's Degree,0,0,41555,,,,False,,False,
29567,POONAMALLEE,5,TIRUVALLUR,Mekala.J,NTK,NTK,NTK,F,45,Not Specified,0,0,753000,,,,False,,False,
29570,POONAMALLEE,5,TIRUVALLUR,Prakasam.R,Tamilaga Vettri Kazhagam,TVK,TVK,M,44,10th Grade (SSLC),0,0,75000,,,,False,,False,
29582,AVADI,6,TIRUVALLUR,C.S.Karnan,ACDP,ACDP,,M,70,Not Specified,0,0,,,,,False,,False,
29584,AVADI,6,TIRUVALLUR,R.Bakthavatchalam,AIPTMMK,AIPTMMK,,M,39,12th Grade (HSC / +2),0,0,,,,,False,,False,
29583,AVADI,6,TIRUVALLUR,Senthilkumar. S,APTADMK,APTADMK,,M,51,Diploma / ITI,0,0,30000,,,,False,,False,
29580,AVADI,6,TIRUVALLUR,Rajasimha Mahendra,BJP,BJP,NDA,M,49,12th Grade (HSC / +2),0,0,5944000,,,,False,,False,
29577,AVADI,6,TIRUVALLUR,S.Charles,BSP,BSP,OTHERS,M,45,12th Grade (HSC / +2),0,0,73000,,,,False,,False,
29578,AVADI,6,TIRUVALLUR,S.M.Nasar,DMK,DMK,INDIA,M,66,10th Grade (SSLC),0,0,20800000,,,,False,,False,
29588,AVADI,6,TIRUVALLUR,G.D.Arunkumar,IND,IND,NONE,M,30,Bachelor's Degree,0,0,667000,,,,False,,False,
29587,AVADI,6,TIRUVALLUR,K.Annamalai,IND,IND,NONE,M,52,10th Grade (SSLC),0,0,720000,,,,False,,False,
29593,AVADI,6,TIRUVALLUR,K.Balakrishnan,IND,IND,NONE,M,47,Bachelor's Degree,0,0,153000,,,,False,,False,
29589,AVADI,6,TIRUVALLUR,M.Erajasimman,IND,IND,NONE,M,42,Bachelor's Degree,0,0,842000,,,,False,,False,
29592,AVADI,6,TIRUVALLUR,P.Chellapandian,IND,IND,NONE,M,58,Bachelor's Degree,0,0,573000,,,,False,,False,
29590,AVADI,6,TIRUVALLUR,R.Kumar,IND,IND,NONE,M,49,Not Specified,0,0,1219000,,,,False,,False,
29594,AVADI,6,TIRUVALLUR,R.Manikandan,IND,IND,NONE,M,34,Master's Degree,0,0,648000,,,,False,,False,
29596,AVADI,6,TIRUVALLUR,Rajasekar. R,IND,IND,NONE,M,27,Bachelor's Degree,0,0,651000,,,,False,,False,
29591,AVADI,6,TIRUVALLUR,S.Senthilkumar,IND,IND,NONE,M,48,Bachelor's Degree,0,0,2687000,,,,False,,False,
29595,AVADI,6,TIRUVALLUR,Uniesh Raj. M,IND,IND,NONE,M,29,Master's Degree,0,0,762000,,,,False,,False,
29579,AVADI,6,TIRUVALLUR,Punitha Shanmugam,NTK,NTK,NTK,F,32,Doctorate (Ph.D / MD),0,0,1239000,,,,False,,False,
